code,tags
LGBT,"lgbt, gay, lesbiana, bisexual, trans, transexual, pansexual, genero fluido, adopcion, travesti, drag, drag queen, queer, pride, identidad, transgenero, no binario, asexual, intersexual, diversidad, orgullo, homofobia, transfobia, bifobia, lesbofobia, homoparentalidad, androginia, hormonación, demisexual, graysexual, poliamor, neopronombres, transfeminismo, matrimonio igualitario, cisgenero, agenero, pangenero, transmasculino, heteronormatividad, heterosexismo, interseccionalidad, omnisexual, butch, androgino, intergenero, polygenero, inclusion, queerfest, monosexual"
FILE,"torrent, descarga, mega, drive, cloud, wetransfer, descarga, ftp, seeder, leecher, tracker, zippyshare, mediafire, rapidgator, uploading, filehost, dropbox, icloud, googledrive, .box, pcloud, fichero, .zip, .rar, .7z, transmission, utorrent, bittorrent, filesharing, seedbox, usenet, rclone, p2p, syncing, cloud storage, compression, data dump, sftp, backup, afp, mft, qfilesvr.400, cifrado, ftps, pgp, metadata, firewall, winscp, terashare, plesk"
HACK,"hacker, ciberataque, pentesting, ciberseguridad, ransomware, phishing, hack, vulnerabilidad, malware, spyware, keylogger, troyano, rootkit, backdoor, botnet, ddos, zero-day, exploit, ciberdelincuencia, ciberespionaje, ciberterrorismo, ciberguerra, ciberdefensa, ciberinteligencia, ciberseguro, ciberdelito, hacking, crackeador, carder, baking, phreaker, anonymous, bug, pharming, scareware, spoofing, token, xss, cam table overflow, bots, sniffing, mitm, dropper, payloads, cert, cookie, csirt, csrf, defacement, whaling"
COMT,"chat, mensajeria, voip, gsuite, monday.com, irc, discord, skype, messenger, line, kik, wechat, snapchat, viber, hangouts, zoom, teams, meet, conferencia, videoconferencia, llamada, videollamada, mensajero, correo, email, inbox, outbox, spam, webcam, sms, blog, interfaz, intranet, googlevoice, mailchimp, constant contact, hubspot, mailerlite, zoho campaigns, goto meeting, publicidad, webinar, visual thinking, wire, slack, asana, outlook, gmail, filestage, google workspace"
MMED,"youtube, spotify, soundcloud, stream, twitch, dailymotion, vimeo, netflix, hbo, prime, amazon, disney, pelicula, biopic, plutotv, serie, documental, tidal, deezer, bandcamp, pandora, podcast, audiolibros, audiostreaming, vod, hulu, crunchyroll, funimation, paramount+, starz, movistar+, roku, peacock, filmin, kodi, plex, iptv, multimedia, postproduccion, cortometraje, largometraje, doblaje, videoclip, videoblog, videocast, streamers, gnula, magictv, stremio, pelis24"
HOST,"blog, wordpress, blogspot, hosting, dominios, web hosting, servidores, cPanel, blogging, blogger, weebly, wix, squarespace, siteground, bluehost, godaddy, hostgator, dns, ssl, subdominios, cdn, cloudflare, namecheap, feather, dreamhost, nexcess, 000webhost, a2hosting, interserver, greengeeks, ionos, substack, gator, systeme.io, contenthub, kajabi, framer, webflow, seo, cms, backend, digitalocean, strikinlgy, jekyll, hostinger, accuweb, medium, drupal, joomla, webnode"
SRCH,"buscador, google, bing, yahoo, duckduckgo, brave, navegador, chrome, firefox, safari, explorer, opera, edge, browser, yandex, baidu, startpage, qwant, metabuscador, googlebot, serp, adblock, scielo, archive.org, redalyc, google scholar, ecosia, swisscows, ask, gibiru, behold, oscobo, gigablast, metager, lukol, disconnect, searx, boardreader, wolframalpha, infinity search, dogpile, pubmed, arxiv, pixabay, unsplash, research gate, listen notes, mysciencework, pickanews, slideshare"
GAME,"gamer, videojuegos, xbox, playstation, nintendo, steam, esports, gaming, consolas, gameplay, multijugador, fps, rpg, mmo, sandbox, ps5, stadia, metaverso, juegos, juegos online, jugar, modding, arcade, avatar, virtual reality, bonus, cloud gaming, endgame, emulador, gamepad, goty, npc, partida, morpg, skin, battle royale, advergaming, backtrack, cosplay, estrategia, epico, fatality, gunplay, joystick, minecraft, nivel, ownear, roleplay, sandbox, simulador"
CULTR,"historia, cinema, musica, literatura, humor, entretenimiento, arte, teatro, telenovelas, cine, documentales, peliculas, series, actuacion, guionismo, pintura, escultura, arquitectura, ilustracion, exposiciones, museos, patrimonio, poesia, editoriales, bibliotecas, filosofia, literaria, drama, comedia, danza, ballet, coreografia, folklore, tradiciones, mitologia, costumbres, moda, arqueologia, antropologia, culturalismo, civilizaciones, baile, tango, libros, monumento, ancestro, interculturalidad, simbolico, creencia, cosmovision"
ECON,"economia, finanzas, pobreza, mercado, desarrollo, inversion, crisis, inflacion, westernunion, paypal, transferwise, revolut, coinbase, bitstamp, kraken, binance, coinmarketcap, coinmarket, coin, crypto, cryptocurrency, bitcoin, ethereum, ripple, litecoin, monero, dash, zcash, dogecoin, nem, neo, cardano, stellar, tron, eos, iota, tezos, chainlink, polkadot, sp500, inversiones, carta, dolar, euro, franco, peso, monetario, pib, ahorro, capital"
GOVT,"gobierno, ministerio, militar, armada, politica, elecciones, parlamento, .gob, .gov, estado, democracia, dictadura, autoritarismo, monarquia, republica, congreso, senado, diputados, ejecutivo, legislativo, judicial, constitucion, leyes, decretos, presidencia, ministro, gabinete, geopolítica, embajadas, consulados, diplomacia, socialismo, liberalismo, conservadurismo, anarquismo, federalismo, nacionalismo, populismo, candidatos, voto, sufragio, electoral, gobernabilidad, justicia, tribunales, fiscalia, burocracia, ayuntamientos, alcaldías, diputaciones"
COMM,"ecommerce, compra, venta, tienda, amazon, mercadolibre, shopify, dropshipping, marketplace, woocommerce, bigcommerce, prestashop, magento, paypal, stripe, rebajas, afiliados, devoluciones, reembolsos, membresias, upselling, stock, inventario, wholesale, cashback, cybermonday, blackfriday, wallet, retail, checkout, cross selling, pod, ebay, transacción, cross border, cybercash, reviews, sem, target, trazabilidad, user experience, wishlists, benchmarking, ctr, mcommerce, pure players, roas, responsive, ticket medio, tracking"
CTRL,"benigno, control, vigilancia, inocuo, apto, moderacion, restriccion, verificacion, supervision, curaduria, algoritmos, deteccion, filtro, clave, inapropiado, regulacion, bloqueo, rastreo, pics, acceso, privacidad, censura, fact checking, ofensivo, filtrado, scalefusion, veltar, web protection, amenazas, advertencia, wcf, flash start, bitdefender, gravityzone, monitorizacion, pumpic, famisafe, net nany, securekids, opendns, untangle, dyn, censorship, iss, tcp/ip, honeypot, zero trust, geofencing, endpoint, deep packet inspection"
IGO,"unicef, oms, LACNIC, intergubernamental, fmi, fao, unesco, otan, mercosur, asean, celac, aladi, alba, alianza, alianzas, oecd, ocde, g20, g7, brics, caricom, opep, opep+, bid, omc, unhcr, acnur, pma, oiea, nato, unodc, pnud, oit, ompi, omi, caf, ods, interpol, oea, onu, oim, ops, bm, oei, cpi, can, cij, cepal, iidh"
